word	F	Ao	Ez		
aporte	1	1	0		
appareillerai	1	1	0		
appareillié	1	1	0		
aprant	1	1	0		
Apres	1	1	0		
aprestez	1	1	0		
aprime	1	1	0		
apris	1	1	0		
aprocha	1	1	0		
archeia	1	1	0		
archiee	1	1	0		
archoier	1	1	0		
arçons	1	1	0		
Arés	1	1	0		
areste	1	1	0		
arester	1	1	0		
Arimathie	1	1	0		
arivé	1	1	0		
armé	1	1	0		
aseoir	1	1	0		
asez	1	1	0		
asiet	1	1	0		
asoir	1	1	0		
assaillie	1	1	0		
assemblement	1	1	0		
assenbloit	1	1	0		
asseoir	1	1	0		
asseüra	1	1	0		
asseürer	1	1	0		
Assez	1	1	0		
assoffrir	1	1	0		
ataindre	1	1	0		
ataint	1	1	0		
atendoit	1	1	0		
atorna	1	1	0		
atorné	1	1	0		
atorner	1	1	0		
atoz	1	1	0		
Autice	1	1	0		
autresins	1	1	0		
autretant	1	1	0		
avandra	1	1	0		
Avecques	1	1	0		
aveigne	1	1	0		
avenement	1	1	0		
avenir	1	1	0		
avers	1	1	0		
avironee	1	1	0		
avoie	1	1	0		
avra	1	1	0		
avroie	1	1	0		
baate	1	1	0		
bades	1	1	0		
baer	1	1	0		
baez	1	1	0		
baiez	1	1	0		
baillie	1	1	0		
bailliez	1	1	0		
baisier	1	1	0		
bandé	1	1	0		
Beduiers	1	1	0		
beles	1	1	0		
besoig	1	1	0		
besoignz	1	1	0		
besoing	1	1	0		
besoinz	1	1	0		
biautez	1	1	0		
biauz	1	1	0		
blanchet	1	1	0		
blasme	1	1	0		
blasmer	1	1	0		
bocle	1	1	0		
boens	1	1	0		
Bohort	1	1	0		
boiche	1	1	0		
boteilliers	1	1	0		
Bretaigne	1	1	0		
breton	1	1	0		
ça	1	1	0		
Camaaloht	1	1	0		
ceinte	1	1	0		
cel	1	1	0		
cendé	1	1	0		
cers	1	1	0		
cesti	1	1	0		
cestui	1	1	0		
chaçoient	1	1	0		
chalor	1	1	0		
chambres	1	1	0		
chasne	1	1	0		
chastel	1	1	0		
chauces	1	1	0		
chauz	1	1	0		
chepelet	1	1	0		
chevaucha	1	1	0		
chevauchent	1	1	0		
chevauchierent	1	1	0		
chier	1	1	0		
choisist	1	1	0		
clamé	1	1	0		
Claudas	1	1	0		
clergiez	1	1	0		
close	1	1	0		
clox	1	1	0		
cointes	1	1	0		
coisins	1	1	0		
color	1	1	0		
Com	1	1	0		
comandastes	1	1	0		
comandes	1	1	0		
combatu	1	1	0		
Coment	1	1	0		
commant	1	1	0		
compaigne	1	1	0		
companie	1	1	0		
con	1	1	0		
conceüz	1	1	0		
conestables	1	1	0		
confondre	1	1	0		
confort	1	1	0		
congié	1	1	0		
conjure	1	1	0		
